"gene_symbol","logFC","logCPM","F","PValue","FDR","gene"
"STEAP2-AS1",0.433715803805789,-3.84780856573393,0.306651655556323,0.581083905642964,0.811326105825655,"STEAP2-AS1"
"RP5-1121E10.2",-0.0518507129471583,-0.544678875972005,0.0496068011567966,0.82483200532781,0.93446475197904,"RP5-1121E10.2"
"DPY19L2P4",0.0315575754866399,2.87251414237788,0.0289498527901474,0.865704571295135,0.951607010348595,"DPY19L2P4"
"STEAP1",0.469313831652886,-1.62781745881906,1.77690203947177,0.189698636864731,0.490180696651921,"STEAP1"
"STEAP2",0.30258864911289,2.95156145666594,2.91803869025119,0.0949104331638088,0.349628030562063,"STEAP2"
"C7orf63",0.511357431513157,1.68167132110285,8.15649544154947,0.00662031887833827,0.0914889030250949,"C7orf63"
"AC002064.4",0.630316973280352,-1.47069557425257,4.55751890922207,0.0386582824105534,0.224581572026918,"AC002064.4"
"AC002064.5",0.691342576526303,-2.43345446821745,2.91596009884532,0.0936823956323357,0.347685011041948,"AC002064.5"
"GTPBP10",0.165090746985184,4.27162895187264,3.45663300128156,0.0699501874562453,0.301251783574006,"GTPBP10"
"CLDN12",-0.0074425371541801,5.56596847445123,0.0117664988090111,0.914132025793179,0.974350677131378,"CLDN12"
"CDK14",-0.216534239002883,4.69252405232559,2.56152582948534,0.116921463911611,0.388399315151604,"CDK14"
"AC002456.2",-1.21207019258226,-2.36713037962395,14.4074899082754,0.000390718826223752,0.0207974577737744,"AC002456.2"
"FZD1",0.398327059217677,3.15916159990405,0.547170734186773,0.463951597574284,0.739947636253676,"FZD1"
"RP11-115N4.1",-0.817555451757907,-3.81334331204075,1.65681093880604,0.20115570919477,0.503254631047217,"RP11-115N4.1"
"RP11-142A5.1",0.737621724653587,-3.47288531297778,2.40030064164181,0.124707111224645,0.40257230557663,"RP11-142A5.1"
"CTB-111F10.1",-1.76277433453022,-4.08203419972795,3.78267251634372,0.0576927506295119,0.274414968606475,"CTB-111F10.1"
"MTERF",0.0766857486926553,3.44264249821838,0.578420498216936,0.45114286245046,0.731168643894607,"MTERF"
"AKAP9",0.414368865697897,8.3024252884433,5.9491896840514,0.0192408935474344,0.158603428076519,"AKAP9"
"CYP51A1",-0.0487897692123916,3.59609324188493,0.192864273458507,0.662774379860111,0.855675430261421,"CYP51A1"
"LRRD1",0.337592633087811,0.936153258083159,3.09738209103965,0.0856438805334162,0.333706027111002,"LRRD1"
"CTB-161K23.1",0.0992252133514688,-0.7397962180518,0.172763614412448,0.679799434877821,0.864205210910186,"CTB-161K23.1"
"KRIT1",0.246247969664028,4.78386180804133,5.66313504185973,0.021899387531105,0.169737857375333,"KRIT1"
"AC000120.7",0.300286250199656,0.0496781478303465,2.77468280095871,0.103178087897166,0.364285409141176,"AC000120.7"
"MIR1285-1",0.331621281499479,-2.1218583808697,1.45305768779404,0.234322140480107,0.540806269647255,"MIR1285-1"
"ANKIB1",0.0881450361347869,6.7808560180768,1.33818468894967,0.253832889841275,0.56435367185444,"ANKIB1"
"TMBIM7P",1.92352680026763,-4.2665674930345,3.15011447183295,0.0879706949185258,0.337434307958114,"TMBIM7P"
"GATAD1",0.00932062309253262,5.24285524192376,0.0106660693273098,0.918230529959952,0.975867458811726,"GATAD1"
"AC007566.10",0.406417705531379,0.644310795723233,6.33515001046043,0.0157125925913357,0.142235209812179,"AC007566.10"
"ERVW-1",0.44811286678487,2.03660091470792,4.98938840202782,0.0308372766922882,0.201606637606144,"ERVW-1"
"PEX1",0.163190548788093,5.75142260318572,2.16035529107727,0.148996681327503,0.439072955736288,"PEX1"
"RBM48",0.0295493557063022,3.87845600083695,0.134155288028349,0.715984170070473,0.882446556956764,"RBM48"
"FAM133B",0.17229398392789,4.20165565045102,2.57134904278778,0.116242206638944,0.387543934493197,"FAM133B"
"CDK6",-0.633827892479197,5.06437741916569,2.27283558230419,0.139821723355833,0.426205595908732,"CDK6"
"AC002454.1",-0.714600714065097,-3.34869618632077,1.09855280303459,0.297369247721604,0.608016964729534,"AC002454.1"
"SAMD9",1.11812513133569,-1.36927641204771,1.75408436059158,0.192881032252402,0.493753788623365,"SAMD9"
"SAMD9L",3.0613126730714,-2.05605809253921,7.19170086320396,0.00956703787702716,0.109457637295469,"SAMD9L"
"HEPACAM2",0.471982782004712,-3.35555570217675,0.806598174815181,0.371515837997765,0.671085242348298,"HEPACAM2"
"CCDC132",0.102592754045074,5.53960753172485,1.07506813474068,0.3056830855191,0.615665779749743,"CCDC132"
"CALCR",-1.22713348775188,-3.72938519962163,3.3749488754847,0.0693262709571779,0.300212198895404,"CALCR"
"GNGT1",0.17556232576561,-2.70672714811423,0.121423751156756,0.728754224231738,0.888196352528025,"GNGT1"
"AC002075.4",-1.64125466436032,-4.29930704311213,2.30977973603189,0.146049595240684,0.435093193025015,"AC002075.4"
"TFPI2",-1.17102066917223,0.893424902842638,4.56123442375797,0.0390013928653148,0.225489121984886,"TFPI2"
"AC002076.10",1.10871380046902,-4.13517508551586,0.981229925156577,0.327129593804455,0.634207066244554,"AC002076.10"
"GNG11",-0.910423069598841,-0.295584723691428,2.35429054203168,0.132951731857461,0.415129727516074,"GNG11"
"BET1",-0.0444105253296408,3.17168124803783,0.180930172187935,0.672727308307533,0.861000365059598,"BET1"
"AC006378.2",0.223175636977495,-1.29291832858667,0.771165404611052,0.38493240312327,0.681368505940408,"AC006378.2"
"AC003092.1",-0.172885427871423,-3.92000747685966,0.0431847804798866,0.835868038951754,0.939234798738216,"AC003092.1"
"COL1A2",1.75618637238291,7.38809648968871,2.86283816794952,0.0988230222864993,0.356012482423064,"COL1A2"
"CASD1",0.198052444364646,6.95430795233847,4.13923654275106,0.0481876779338226,0.251752258336893,"CASD1"
"SGCE",0.0909540256033863,4.52058974618364,1.0697974012874,0.306857014343904,0.616913121831509,"SGCE"
"PEG10",0.216456899872434,10.5733940126758,2.7799962264078,0.103203663903413,0.364311092651515,"PEG10"
"RPS3AP25",-1.19117382077714,-3.83022127589497,3.23696473546941,0.0755032007380785,0.312026269324998,"RPS3AP25"
"PPP1R9A",0.180179260237115,6.3220637665188,2.64409418830531,0.111348975502239,0.379411740334618,"PPP1R9A"
"AC002429.5",0.718923789342632,-3.23586299611701,1.904334988576,0.171289885912598,0.468475547442453,"AC002429.5"
"PON1",1.0920820196534,-2.71611794182857,5.32995493769865,0.0242483346841909,0.178926098784017,"PON1"
"PON3",1.26101502499079,-4.34897420338251,1.15215562394602,0.302171883033704,0.612802834328587,"PON3"
"PON2",-0.045139809632796,4.21074378024417,0.0305231615629369,0.862183404378199,0.950157823353186,"PON2"
"GS1-293C5.1",0.714590072148296,-3.48208939503595,1.53343326503492,0.218691844694838,0.523939219531321,"GS1-293C5.1"
"AC004012.1",2.5926532959638,-4.13992689644002,4.46386232833651,0.039806542494333,0.228344618316549,"AC004012.1"
"ASB4",0.407258895675152,-2.97279260933701,0.459269796763351,0.50024331017029,0.760389766933669,"ASB4"
"PDK4",-0.171230153857736,-0.774698885056043,0.144545444582378,0.705766751862306,0.877665774695169,"PDK4"
"DYNC1I1",-0.126785428207468,5.38233851391702,1.02932523584855,0.316074167857928,0.624953885265706,"DYNC1I1"
"SLC25A13",-0.244638278993094,5.9831055705821,6.72793146560986,0.0129776673718093,0.128057701987266,"SLC25A13"
"SHFM1",-0.175767812716914,4.22804642572417,3.36983550180053,0.0734229186244999,0.308107838202064,"SHFM1"
"RP11-682N22.1",0.12191342685231,-0.266407441188852,0.397416772528912,0.53183844143423,0.780555367351672,"RP11-682N22.1"
"DLX6-AS1",0.644395799290015,-2.585533625449,0.957898509383284,0.331965083522407,0.637640601770949,"DLX6-AS1"
"DLX6",1.91056136176811,-1.38448131828417,4.76602917093153,0.0343195499468939,0.21184961625349,"DLX6"
"DLX5",1.27908073007707,-0.685591174606799,2.32216568559184,0.13560700812142,0.41951371366466,"DLX5"
"ACN9",-0.00919469628795361,2.77102211342971,0.0088833744449142,0.925353492424813,0.979169970390246,"ACN9"
"TAC1",0.61428141616356,4.91182962247575,4.64666357258548,0.0372412157561723,0.220480305863074,"TAC1"
"ASNS",-0.062846258315796,7.3987915945584,0.544488354428439,0.464644654824334,0.74023335534895,"ASNS"
"AC079781.5",0.377656969509361,-3.33809164577364,0.533710386473982,0.466935015731267,0.741778482629635,"AC079781.5"
"AC007875.3",0.0701291101976083,-1.98770269197534,0.0528821151017269,0.819202863893237,0.931990769508164,"AC007875.3"
"AC005326.2",-0.284872018974469,-2.93932027233949,0.500331276792527,0.48180802487915,0.750153421711496,"AC005326.2"
"RPS3AP29",0.833658444132059,-2.65569664444887,4.8322665065651,0.0318396668956623,0.204562985499556,"RPS3AP29"
"AC079781.1",0.9175852257757,-2.15352851920339,4.47462561157186,0.0395808344248804,0.227475207652663,"AC079781.1"
